wavelength,mel
380,0.000918165
381,0.00104557
382,0.00117858
383,0.00132279
384,0.00148381
385,0.00166724
386,0.00188102
387,0.00212989
388,0.00241457
389,0.00273583
390,0.00309442
391,0.00350706
392,0.00399078
393,0.00454679
394,0.00517625
395,0.00588035
396,0.00669334
397,0.00765102
398,0.00875694
399,0.0100146
400,0.0114277
401,0.0130767
402,0.0150397
403,0.0173166
404,0.0199071
405,0.0228112
406,0.0263194
407,0.0305964
408,0.0354538
409,0.0407028
410,0.046155
411,0.0517822
412,0.0577804
413,0.0642972
414,0.0714801
415,0.0794766
416,0.0891807
417,0.100756
418,0.113256
419,0.125732
420,0.137237
421,0.147446
422,0.157014
423,0.166463
424,0.176316
425,0.187096
426,0.19921
427,0.212408
428,0.226225
429,0.240199
430,0.253865
431,0.267021
432,0.279976
433,0.293034
434,0.3065
435,0.320679
436,0.336016
437,0.352361
438,0.369128
439,0.385732
440,0.401587
441,0.416472
442,0.430797
443,0.444921
444,0.459203
445,0.474002
446,0.489517
447,0.505522
448,0.521741
449,0.537898
450,0.553715
451,0.5691
452,0.58424
453,0.599281
454,0.61437
455,0.629654
456,0.645193
457,0.660892
458,0.67666
459,0.692409
460,0.708049
461,0.723594
462,0.739105
463,0.75456
464,0.769938
465,0.785216
466,0.800683
467,0.816354
468,0.831798
469,0.846587
470,0.860291
471,0.872925
472,0.88487
473,0.896242
474,0.907158
475,0.917734
476,0.928345
477,0.93895
478,0.949035
479,0.958091
480,0.965605
481,0.971976
482,0.977833
483,0.983006
484,0.987325
485,0.990621
486,0.993343
487,0.995887
488,0.998008
489,0.999461
490,1
491,0.999561
492,0.998365
493,0.99659
494,0.994416
495,0.992022
496,0.988792
497,0.98422
498,0.978657
499,0.972451
500,0.965952
501,0.958844
502,0.950716
503,0.941778
504,0.932236
505,0.922299
506,0.911832
507,0.900602
508,0.888663
509,0.876073
510,0.862888
511,0.848801
512,0.833678
513,0.817832
514,0.801579
515,0.785233
516,0.768718
517,0.751807
518,0.734593
519,0.717169
520,0.699628
521,0.681888
522,0.663881
523,0.645724
524,0.627533
525,0.609422
526,0.591339
527,0.573207
528,0.555105
529,0.537112
530,0.519309
531,0.501645
532,0.484067
533,0.466643
534,0.449442
535,0.432533
536,0.415862
537,0.399372
538,0.383136
539,0.367224
540,0.351707
541,0.336537
542,0.321647
543,0.307085
544,0.292899
545,0.279135
546,0.265737
547,0.252648
548,0.239917
549,0.227592
550,0.215722
551,0.204238
552,0.193075
553,0.182288
554,0.17193
555,0.162056
556,0.152601
557,0.143487
558,0.134748
559,0.126416
560,0.118526
561,0.111007
562,0.103793
563,0.0969206
564,0.0904259
565,0.0843457
566,0.0786198
567,0.073175
568,0.0680288
569,0.0631984
570,0.0587013
571,0.0544832
572,0.0504889
573,0.0467344
574,0.0432357
575,0.0400089
576,0.0370102
577,0.0341903
578,0.0315562
579,0.0291153
580,0.0268747
581,0.0248014
582,0.0228597
583,0.0210534
584,0.0193864
585,0.0178624
586,0.0164578
587,0.015147
588,0.0139314
589,0.012812
590,0.0117901
591,0.0108488
592,0.00997112
593,0.0091585
594,0.00841242
595,0.0077343
596,0.00711255
597,0.00653476
598,0.0060011
599,0.00551174
600,0.00506686
601,0.00465869
602,0.00427946
603,0.00392939
604,0.00360872
605,0.00331766
606,0.00305109
607,0.00280374
608,0.0025756
609,0.00236668
610,0.00217698
611,0.00200317
612,0.0018419
613,0.00169317
614,0.00155692
615,0.00143314
616,0.00131972
617,0.00121451
618,0.00111743
619,0.00102839
620,0.000947313
621,0.000872814
622,0.000803576
623,0.00073962
624,0.00068097
625,0.000627648
626,0.000578753
627,0.000533358
628,0.00049144
629,0.00045298
630,0.000417955
631,0.000385789
632,0.000355905
633,0.000328289
634,0.000302926
635,0.000279801
636,0.000258544
637,0.000238785
638,0.000220508
639,0.000203699
640,0.000188341
641,0.000174192
642,0.00016102
643,0.000148821
644,0.000137594
645,0.000127337
646,0.000117891
647,0.000109096
648,0.000100949
649,9.34437e-05
650,8.65751e-05
651,8.02405e-05
652,7.43383e-05
653,6.8865e-05
654,6.38172e-05
655,5.91914e-05
656,5.49203e-05
657,5.09374e-05
658,4.72404e-05
659,4.38269e-05
660,4.06945e-05
661,3.7799e-05
662,3.50966e-05
663,3.25857e-05
664,3.02647e-05
665,2.8132e-05
666,2.61587e-05
667,2.43158e-05
668,2.26017e-05
669,2.10148e-05
670,1.95535e-05
671,1.81982e-05
672,1.69302e-05
673,1.57493e-05
674,1.46553e-05
675,1.3648e-05
676,1.27143e-05
677,1.18407e-05
678,1.10269e-05
679,1.02723e-05
680,9.57637e-06
681,8.93033e-06
682,8.32543e-06
683,7.76135e-06
684,7.23773e-06
685,6.75425e-06
686,6.30499e-06
687,5.88407e-06
688,5.49115e-06
689,5.12592e-06
690,4.78804e-06
691,4.47347e-06
692,4.17829e-06
693,3.90243e-06
694,3.64583e-06
695,3.40841e-06
696,3.18739e-06
697,2.97998e-06
698,2.78604e-06
699,2.60548e-06
700,2.43819e-06
701,2.28225e-06
702,2.1358e-06
703,1.99874e-06
704,1.87101e-06
705,1.75252e-06
706,1.64197e-06
707,1.53806e-06
708,1.44073e-06
709,1.34993e-06
710,1.2656e-06
711,1.18683e-06
712,1.11273e-06
713,1.04326e-06
714,9.78385e-07
715,9.18078e-07
716,8.61705e-07
717,8.0864e-07
718,7.58853e-07
719,7.12313e-07
720,6.68991e-07
721,6.28444e-07
722,5.90239e-07
723,5.54363e-07
724,5.20798e-07
725,4.89531e-07
726,4.60251e-07
727,4.32648e-07
728,4.0671e-07
729,3.8242e-07
730,3.59766e-07
731,3.38528e-07
732,3.1849e-07
733,2.99644e-07
734,2.81981e-07
735,2.65493e-07
736,2.50026e-07
737,2.35424e-07
738,2.21681e-07
739,2.08789e-07
740,1.9674e-07
741,1.85426e-07
742,1.74736e-07
743,1.64666e-07
744,1.55212e-07
745,1.4637e-07
746,1.38062e-07
747,1.30208e-07
748,1.22805e-07
749,1.15848e-07
750,1.09332e-07
751,1.03202e-07
752,9.74005e-08
753,9.19274e-08
754,8.67807e-08
755,8.19587e-08
756,7.74202e-08
757,7.31243e-08
758,6.90693e-08
759,6.52534e-08
760,6.16749e-08
761,5.83044e-08
762,5.51124e-08
763,5.20972e-08
764,4.92575e-08
765,4.65916e-08
766,4.40782e-08
767,4.16962e-08
768,3.94444e-08
769,3.73218e-08
770,3.53272e-08
771,3.34451e-08
772,3.166e-08
773,2.99712e-08
774,2.83782e-08
775,2.68803e-08
776,2.548e-08
777,2.4166e-08
778,2.29167e-08
779,2.17105e-08
780,2.05258e-08
